NFL         = 45
    2.777898    -0.063614   -89.770000 -2.361182e-01 -8.100490e-02
    2.777413     0.063458     0.152000 -1.153211e-02 -7.938725e-03
    2.777243     0.190233     0.062000 -3.545506e-02 -2.359670e-02
    2.777369     0.317262    -0.129000 -5.778398e-02 -3.725922e-02
    2.777941     0.444511    -0.316000 -7.728950e-02 -4.785788e-02
    2.778850     0.571616    -0.531000 -9.397369e-02 -5.513368e-02
    2.749067     0.876060    22.223000 -2.343566e-02 -4.847180e-02
    2.668303     1.010942    38.176000  5.367771e-02 -4.398460e-02
    2.566081     1.126820    44.279000  9.875150e-02 -4.892869e-02
    2.452918     1.232880    49.805000  1.502959e-01 -5.431336e-02
    2.202013     1.397644    61.547000  2.413314e-01 -6.395452e-02
    2.047496     1.474489    68.124000  2.705284e-01 -6.918982e-02
    1.881603     1.529977    75.271000  2.804524e-01 -7.422457e-02
    1.712898     1.556824    92.073000  2.518109e-01 -6.607787e-02
    1.544925     1.535701   106.566000  1.538642e-01 -5.850466e-02
    1.371710     1.443905   130.339000 -1.607652e-02 -2.726237e-02
    1.205625     1.200995   161.986000 -8.825630e-02  4.800399e-02
    1.177771     0.915723   180.784000 -9.597353e-02  1.318482e-01
    1.178834     0.784646   180.207000 -1.038613e-01  1.417163e-01
    1.178657     0.318441   179.897000 -7.020704e-02  1.159070e-01
    1.178488     0.191480   180.003000 -3.831530e-02  7.815667e-02
    1.178732     0.065520   180.032000 -1.153357e-02  2.855830e-02
    1.179053    -0.062551   180.000000  1.124016e-02 -2.703327e-02
    1.178960    -0.190060   179.930000  3.713782e-02 -7.831028e-02
    1.178884    -0.317408   180.000000  6.897831e-02 -1.165152e-01
    1.179190    -0.783120   179.890000  1.038568e-01 -1.414648e-01
    1.172970    -0.912000   180.000000  9.836444e-02 -1.284127e-01
    1.205800    -1.197130  -162.290000  8.796961e-02 -4.917078e-02
    1.373240    -1.441720  -129.200000  1.113706e-02  2.990634e-02
    1.546700    -1.533090  -106.540000 -1.542729e-01  5.849350e-02
    1.712355    -1.554791   -91.310000 -2.523405e-01  6.735996e-02
    1.881693    -1.529181   -75.000000 -2.800373e-01  7.457473e-02
    2.043897    -1.475714   -68.540000 -2.714754e-01  6.902217e-02
    0.000000     0.000000     0.000000  0.000000e+00  0.000000e+00
    2.453131    -1.233549   -50.280000 -1.526990e-01  5.381354e-02
    2.567027    -1.128172   -44.180000 -9.827380e-02  4.895667e-02
    2.668492    -1.011205   -37.770000 -5.166769e-02  4.437226e-02
    2.749513    -0.876732   -22.150000  2.383666e-02  4.851196e-02
    2.780475    -0.571794     0.440000  9.357266e-02  5.489744e-02
    2.779616    -0.444106     0.420000  7.757779e-02  4.778014e-02
    2.778857    -0.317104     0.290000  5.834919e-02  3.732284e-02
    2.778274    -0.190364     0.240000  3.668445e-02  2.396390e-02
    2.777898    -0.063614     0.240000  1.317256e-02  8.504119e-03

