#         PSIN          press         pprime              F        FFprime              q            Phi           RhoN
  4.848485e-01   9.383533e+03   1.598536e+05   4.524770e+00   1.904075e+00   1.244125e+00   5.015912e-01   2.527144e-01 
  4.949495e-01   8.886163e+03   1.547760e+05   4.523460e+00   1.843594e+00   1.259369e+00   5.142784e-01   2.558905e-01 
  5.050505e-01   8.404798e+03   1.497296e+05   4.522193e+00   1.783485e+00   1.275117e+00   5.271273e-01   2.590674e-01 
  5.151515e-01   7.939335e+03   1.447174e+05   4.520966e+00   1.723783e+00   1.291390e+00   5.401451e-01   2.622469e-01 
  5.252525e-01   7.489660e+03   1.397424e+05   4.519781e+00   1.664523e+00   1.308209e+00   5.533383e-01   2.654302e-01 
  5.353535e-01   7.055653e+03   1.348076e+05   4.518638e+00   1.605743e+00   1.325602e+00   5.667086e-01   2.686179e-01 
  5.454545e-01   6.637179e+03   1.299160e+05   4.517534e+00   1.547478e+00   1.343597e+00   5.802633e-01   2.718114e-01 
  5.555556e-01   6.234100e+03   1.250706e+05   4.516471e+00   1.489762e+00   1.362219e+00   5.940069e-01   2.750115e-01 
  5.656566e-01   5.846263e+03   1.202743e+05   4.515448e+00   1.432631e+00   1.381494e+00   6.079455e-01   2.782194e-01 
  5.757576e-01   5.473509e+03   1.155299e+05   4.514465e+00   1.376119e+00   1.401454e+00   6.220874e-01   2.814367e-01 
  5.858586e-01   5.115669e+03   1.108405e+05   4.513521e+00   1.320262e+00   1.422130e+00   6.364398e-01   2.846648e-01 
  5.959596e-01   4.772565e+03   1.062090e+05   4.512615e+00   1.265094e+00   1.443558e+00   6.510136e-01   2.879056e-01 
  6.060606e-01   4.444009e+03   1.016381e+05   4.511748e+00   1.210648e+00   1.465772e+00   6.658196e-01   2.911611e-01 
  6.161616e-01   4.129806e+03   9.713073e+04   4.510918e+00   1.156960e+00   1.488819e+00   6.808665e-01   2.944327e-01 
  6.262626e-01   3.829748e+03   9.268978e+04   4.510126e+00   1.104062e+00   1.512745e+00   6.961584e-01   2.977207e-01 
  6.363636e-01   3.543623e+03   8.831804e+04   4.509370e+00   1.051989e+00   1.537601e+00   7.117059e-01   3.010269e-01 
  6.464646e-01   3.271207e+03   8.401834e+04   4.508650e+00   1.000773e+00   1.563444e+00   7.275193e-01   3.043528e-01 
  6.565657e-01   3.012267e+03   7.979348e+04   4.507966e+00   9.504495e-01   1.590322e+00   7.436048e-01   3.076991e-01 
  6.666667e-01   2.766563e+03   7.564623e+04   4.507317e+00   9.010501e-01   1.618297e+00   7.599789e-01   3.110684e-01 
  6.767677e-01   2.533845e+03   7.157939e+04   4.506702e+00   8.526084e-01   1.647433e+00   7.766564e-01   3.144630e-01 
  6.868687e-01   2.313854e+03   6.759570e+04   4.506121e+00   8.051573e-01   1.677791e+00   7.936496e-01   3.178846e-01 
  6.969697e-01   2.106323e+03   6.369794e+04   4.505572e+00   7.587295e-01   1.709459e+00   8.109736e-01   3.213353e-01 
  7.070707e-01   1.910977e+03   5.988883e+04   4.505055e+00   7.133578e-01   1.742540e+00   8.286437e-01   3.248172e-01 
  7.171717e-01   1.727529e+03   5.617111e+04   4.504570e+00   6.690747e-01   1.777131e+00   8.466722e-01   3.283316e-01 
  7.272727e-01   1.555688e+03   5.254750e+04   4.504116e+00   6.259125e-01   1.813344e+00   8.650749e-01   3.318806e-01 
  7.373737e-01   1.395151e+03   4.902071e+04   4.503691e+00   5.839037e-01   1.851284e+00   8.838674e-01   3.354661e-01 
  7.474747e-01   1.245608e+03   4.559345e+04   4.503296e+00   5.430803e-01   1.891092e+00   9.030761e-01   3.390918e-01 
  7.575758e-01   1.106740e+03   4.226840e+04   4.502929e+00   5.034745e-01   1.932895e+00   9.227225e-01   3.427604e-01 
  7.676768e-01   9.782201e+02   3.904826e+04   4.502589e+00   4.651182e-01   1.976856e+00   9.428315e-01   3.464752e-01 
  7.777778e-01   8.597114e+02   3.593570e+04   4.502275e+00   4.280433e-01   2.023196e+00   9.634280e-01   3.502392e-01 
  7.878788e-01   7.508700e+02   3.293338e+04   4.501987e+00   3.922816e-01   2.072132e+00   9.845364e-01   3.540552e-01 
  7.979798e-01   6.513432e+02   3.004397e+04   4.501724e+00   3.578647e-01   2.123918e+00   1.006187e+00   3.579269e-01 
  8.080808e-01   5.607698e+02   2.727011e+04   4.501484e+00   3.248243e-01   2.178830e+00   1.028414e+00   3.618587e-01 
  8.181818e-01   4.787803e+02   2.461446e+04   4.501267e+00   2.931918e-01   2.237170e+00   1.051254e+00   3.658550e-01 
  8.282828e-01   4.049968e+02   2.207964e+04   4.501072e+00   2.629987e-01   2.299308e+00   1.074753e+00   3.699214e-01 
  8.383838e-01   3.390330e+02   1.966829e+04   4.500897e+00   2.342762e-01   2.365728e+00   1.098955e+00   3.740632e-01 
  8.484848e-01   2.804945e+02   1.738303e+04   4.500742e+00   2.070557e-01   2.436999e+00   1.123913e+00   3.782870e-01 
  8.585859e-01   2.289784e+02   1.522648e+04   4.500606e+00   1.813682e-01   2.513771e+00   1.149685e+00   3.825996e-01 
  8.686869e-01   1.840738e+02   1.320125e+04   4.500487e+00   1.572449e-01   2.596827e+00   1.176340e+00   3.870093e-01 
