ZONE I=361 J=100 K=1
1.773614e+00 7.487459e-01 -1.910945e-01 -1.295257e+00
1.759991e+00 7.559889e-01 -1.910945e-01 -2.851302e+01
1.746084e+00 7.631882e-01 -1.910945e-01 -1.904546e+02
1.731888e+00 7.703414e-01 -1.910945e-01 -2.983224e+02
1.717396e+00 7.774494e-01 -1.910945e-01 -2.753254e+02
1.702602e+00 7.844836e-01 -1.910945e-01 -1.343253e+02
1.687502e+00 7.914420e-01 -1.910945e-01 -3.521581e+01
1.672089e+00 7.983212e-01 -1.910945e-01 -1.298267e+01
1.656352e+00 8.051373e-01 -1.910945e-01 -3.186473e+01
1.640281e+00 8.118955e-01 -1.910945e-01 -1.036444e+02
1.623870e+00 8.185824e-01 -1.910945e-01 -1.337996e+02
1.607111e+00 8.251931e-01 -1.910945e-01 -1.065959e+02
1.589998e+00 8.317120e-01 -1.910945e-01 -5.117834e+01
1.572518e+00 8.381536e-01 -1.910945e-01 -1.013469e+01
1.554674e+00 8.444696e-01 -1.910945e-01 -1.002812e-01
1.536448e+00 8.506900e-01 -1.910945e-01 -5.442537e+00
1.517821e+00 8.568405e-01 -1.910945e-01 -1.752783e+01
1.498795e+00 8.628716e-01 -1.910945e-01 -2.051723e+01
1.479362e+00 8.687786e-01 -1.910945e-01 -1.497225e+01
1.459499e+00 8.745857e-01 -1.910945e-01 -6.933405e+00
1.439202e+00 8.802702e-01 -1.910945e-01 -1.748492e+00
1.418482e+00 8.857742e-01 -1.910945e-01 -1.360310e-01
1.397519e+00 8.906902e-01 -1.910945e-01 -1.126944e-06
1.393137e+00 8.605477e-01 -1.910945e-01 -4.519761e-04
1.387326e+00 8.351468e-01 -1.910945e-01 -3.851107e-01
1.381983e+00 8.103509e-01 -1.910945e-01 -4.062913e+00
1.376998e+00 7.863058e-01 -1.910945e-01 -9.551723e+00
1.372374e+00 7.629344e-01 -1.910945e-01 -9.480774e+00
1.368053e+00 7.402745e-01 -1.910945e-01 -5.476387e+00
1.364031e+00 7.182680e-01 -1.910945e-01 -1.432390e+00
1.360273e+00 6.969137e-01 -1.910945e-01 -3.992914e+00
1.356764e+00 6.761816e-01 -1.910945e-01 -2.275764e+01
1.353479e+00 6.560563e-01 -1.910945e-01 -5.429464e+01
1.350400e+00 6.365138e-01 -1.910945e-01 -7.870455e+01
1.347511e+00 6.175316e-01 -1.910945e-01 -8.615142e+01
1.344798e+00 5.990851e-01 -1.910945e-01 -7.138972e+01
1.342237e+00 5.811641e-01 -1.910945e-01 -4.019026e+01
1.339835e+00 5.637221e-01 -1.910945e-01 -1.867502e+01
1.337563e+00 5.467604e-01 -1.910945e-01 -1.031097e+01
1.335411e+00 5.302551e-01 -1.910945e-01 -9.446360e+00
1.333389e+00 5.141634e-01 -1.910945e-01 -1.939147e+01
1.331470e+00 4.984886e-01 -1.910945e-01 -5.275116e+01
1.329649e+00 4.832059e-01 -1.910945e-01 -1.145310e+02
1.327927e+00 4.682886e-01 -1.910945e-01 -1.874337e+02
1.326296e+00 4.537230e-01 -1.910945e-01 -2.556939e+02
1.324745e+00 4.394956e-01 -1.910945e-01 -3.153250e+02
1.323269e+00 4.255900e-01 -1.910945e-01 -3.584841e+02
1.321879e+00 4.119776e-01 -1.910945e-01 -3.825608e+02
1.320544e+00 3.986652e-01 -1.910945e-01 -3.854219e+02
1.319271e+00 3.856298e-01 -1.910945e-01 -3.684001e+02
1.318072e+00 3.728452e-01 -1.910945e-01 -3.360660e+02
1.316932e+00 3.603086e-01 -1.910945e-01 -2.924634e+02
1.315835e+00 3.480170e-01 -1.910945e-01 -2.411299e+02
1.314794e+00 3.359461e-01 -1.910945e-01 -1.881964e+02
1.313814e+00 3.240808e-01 -1.910945e-01 -1.375283e+02
1.312869e+00 3.124255e-01 -1.910945e-01 -8.684573e+01
1.311971e+00 3.009613e-01 -1.910945e-01 -4.694736e+01
1.311115e+00 2.896793e-01 -1.910945e-01 -2.270977e+01
1.310315e+00 2.785623e-01 -1.910945e-01 -1.231735e+01
1.309544e+00 2.676149e-01 -1.910945e-01 -9.108728e+00
1.308809e+00 2.568238e-01 -1.910945e-01 -9.805701e+00
1.308110e+00 2.461801e-01 -1.910945e-01 -1.383643e+01
1.307453e+00 2.356724e-01 -1.910945e-01 -2.172660e+01
1.306831e+00 2.252963e-01 -1.910945e-01 -3.596666e+01
1.306234e+00 2.150475e-01 -1.910945e-01 -6.058969e+01
1.305664e+00 2.049182e-01 -1.910945e-01 -9.504438e+01
1.305137e+00 1.948946e-01 -1.910945e-01 -1.364294e+02
1.304639e+00 1.849752e-01 -1.910945e-01 -1.780105e+02
1.304165e+00 1.751557e-01 -1.910945e-01 -2.201653e+02
1.303727e+00 1.654256e-01 -1.910945e-01 -2.646355e+02
1.303304e+00 1.557852e-01 -1.910945e-01 -3.088418e+02
1.302916e+00 1.462225e-01 -1.910945e-01 -3.529223e+02
1.302556e+00 1.367341e-01 -1.910945e-01 -3.954011e+02
1.302224e+00 1.273146e-01 -1.910945e-01 -4.369588e+02
1.301914e+00 1.179599e-01 -1.910945e-01 -4.767704e+02
1.301617e+00 1.086669e-01 -1.910945e-01 -5.130688e+02
1.301354e+00 9.942560e-02 -1.910945e-01 -5.474373e+02
1.301122e+00 9.023217e-02 -1.910945e-01 -5.791427e+02
1.300908e+00 8.108432e-02 -1.910945e-01 -6.075444e+02
1.300720e+00 7.197575e-02 -1.910945e-01 -6.336392e+02
1.300547e+00 6.290341e-02 -1.910945e-01 -6.558254e+02
1.300403e+00 5.386082e-02 -1.910945e-01 -6.755170e+02
1.300286e+00 4.484393e-02 -1.910945e-01 -6.923713e+02
1.300184e+00 3.584938e-02 -1.910945e-01 -7.053223e+02
1.300103e+00 2.687214e-02 -1.910945e-01 -7.152206e+02
1.300050e+00 1.790753e-02 -1.910945e-01 -7.229158e+02
