	[R]	[BT0]	[BT]	[Btotal]
1.673175e+00	1.672499e+00	1.672499e+00	1.672499e+00
1.670959e+00	1.674778e+00	1.674778e+00	1.674778e+00
1.669837e+00	1.675963e+00	1.675963e+00	1.675963e+00
1.667563e+00	1.678307e+00	1.678307e+00	1.678307e+00
1.666409e+00	1.679526e+00	1.679526e+00	1.679526e+00
1.664068e+00	1.681945e+00	1.681945e+00	1.681945e+00
1.662881e+00	1.683200e+00	1.683200e+00	1.683200e+00
1.660466e+00	1.685701e+00	1.685701e+00	1.685701e+00
1.659240e+00	1.687000e+00	1.687000e+00	1.687000e+00
1.656745e+00	1.689591e+00	1.689591e+00	1.689591e+00
1.655475e+00	1.690938e+00	1.690938e+00	1.690938e+00
1.652888e+00	1.693634e+00	1.693634e+00	1.693634e+00
1.651566e+00	1.695037e+00	1.695037e+00	1.695037e+00
1.648874e+00	1.697852e+00	1.697852e+00	1.697852e+00
1.647496e+00	1.699318e+00	1.699318e+00	1.699318e+00
1.644680e+00	1.702273e+00	1.702273e+00	1.702273e+00
1.643235e+00	1.703813e+00	1.703813e+00	1.703813e+00
1.640272e+00	1.706935e+00	1.706935e+00	1.706935e+00
1.638750e+00	1.708562e+00	1.708562e+00	1.708562e+00
1.635606e+00	1.711888e+00	1.711888e+00	1.711888e+00
1.632317e+00	1.715377e+00	1.715377e+00	1.715377e+00
1.630612e+00	1.717211e+00	1.717211e+00	1.717211e+00
1.627051e+00	1.721009e+00	1.721009e+00	1.721009e+00
1.625184e+00	1.723024e+00	1.723024e+00	1.723024e+00
1.621238e+00	1.727254e+00	1.727254e+00	1.727254e+00
1.619143e+00	1.729526e+00	1.729526e+00	1.729526e+00
1.614591e+00	1.734438e+00	1.734438e+00	1.734438e+00
1.612075e+00	1.737180e+00	1.737180e+00	1.737180e+00
1.606204e+00	1.743564e+00	1.743564e+00	1.743564e+00
1.602323e+00	1.747821e+00	1.747821e+00	1.747821e+00
