ZONE I=129 J=129
8.400000e-01 1.500000e+00 -1.567530e-01
8.400000e-01 1.525000e+00 -1.555841e-01
8.400000e-01 1.550000e+00 -1.539723e-01
8.400000e-01 1.575000e+00 -1.519842e-01
8.400000e-01 1.600000e+00 -1.497045e-01
8.532812e-01 -1.600000e+00 -1.483288e-01
8.532812e-01 -1.575000e+00 -1.505523e-01
8.532812e-01 -1.550000e+00 -1.525506e-01
8.532812e-01 -1.525000e+00 -1.542418e-01
8.532812e-01 -1.500000e+00 -1.555617e-01
8.532812e-01 -1.475000e+00 -1.564902e-01
8.532812e-01 -1.450000e+00 -1.570805e-01
8.532812e-01 -1.425000e+00 -1.574762e-01
8.532812e-01 -1.400000e+00 -1.579235e-01
8.532812e-01 -1.375000e+00 -1.588151e-01
8.532812e-01 -1.350000e+00 -1.608969e-01
8.532812e-01 -1.325000e+00 -1.619845e-01
8.532812e-01 -1.300000e+00 -1.617083e-01
8.532812e-01 -1.275000e+00 -1.609351e-01
8.532812e-01 -1.250000e+00 -1.594895e-01
8.532812e-01 -1.225000e+00 -1.572408e-01
8.532812e-01 -1.200000e+00 -1.547611e-01
8.532812e-01 -1.175000e+00 -1.517715e-01
8.532812e-01 -1.150000e+00 -1.478598e-01
8.532812e-01 -1.125000e+00 -1.435665e-01
8.532812e-01 -1.100000e+00 -1.385590e-01
8.532812e-01 -1.075000e+00 -1.320651e-01
8.532812e-01 -1.050000e+00 -1.243138e-01
8.532812e-01 -1.025000e+00 -1.141818e-01
8.532812e-01 -1.000000e+00 -1.039361e-01
8.532812e-01 -9.750000e-01 -9.617779e-02
8.532812e-01 -9.500000e-01 -8.973508e-02
8.532812e-01 -9.250000e-01 -8.488408e-02
8.532812e-01 -9.000000e-01 -8.078818e-02
8.532812e-01 -8.750000e-01 -7.707857e-02
8.532812e-01 -8.500000e-01 -7.435155e-02
8.532812e-01 -8.250000e-01 -7.213370e-02
8.532812e-01 -8.000000e-01 -7.008119e-02
8.532812e-01 -7.750000e-01 -6.878379e-02
8.532812e-01 -7.500000e-01 -6.801894e-02
8.532812e-01 -7.250000e-01 -6.745804e-02
8.532812e-01 -7.000000e-01 -6.782357e-02
8.532812e-01 -6.750000e-01 -6.811852e-02
8.532812e-01 -6.500000e-01 -6.680427e-02
8.532812e-01 -6.250000e-01 -6.616091e-02
8.532812e-01 -6.000000e-01 -6.630279e-02
8.532812e-01 -5.750000e-01 -6.647328e-02
8.532812e-01 -5.500000e-01 -6.683677e-02
8.532812e-01 -5.250000e-01 -6.792151e-02
8.532812e-01 -5.000000e-01 -6.898940e-02
8.532812e-01 -4.750000e-01 -7.017805e-02
8.532812e-01 -4.500000e-01 -7.220213e-02
8.532812e-01 -4.250000e-01 -7.432464e-02
8.532812e-01 -4.000000e-01 -7.670323e-02
8.532812e-01 -3.750000e-01 -8.033036e-02
8.532812e-01 -3.500000e-01 -8.491772e-02
8.532812e-01 -3.250000e-01 -8.869091e-02
8.532812e-01 -3.000000e-01 -9.163773e-02
8.532812e-01 -2.750000e-01 -9.405458e-02
8.532812e-01 -2.500000e-01 -9.604861e-02
8.532812e-01 -2.250000e-01 -9.788333e-02
8.532812e-01 -2.000000e-01 -9.944001e-02
8.532812e-01 -1.750000e-01 -1.007189e-01
8.532812e-01 -1.500000e-01 -1.019223e-01
8.532812e-01 -1.250000e-01 -1.029410e-01
8.532812e-01 -1.000000e-01 -1.037433e-01
8.532812e-01 -7.500000e-02 -1.045087e-01
8.532812e-01 -5.000000e-02 -1.051733e-01
8.532812e-01 -2.500000e-02 -1.057212e-01
8.532812e-01 0.000000e+00 -1.062945e-01
8.532812e-01 2.500000e-02 -1.061970e-01
8.532812e-01 5.000000e-02 -1.059405e-01
8.532812e-01 7.500000e-02 -1.055071e-01
8.532812e-01 1.000000e-01 -1.049832e-01
8.532812e-01 1.250000e-01 -1.042210e-01
8.532812e-01 1.500000e-01 -1.032288e-01
8.532812e-01 1.750000e-01 -1.021232e-01
8.532812e-01 2.000000e-01 -1.007424e-01
8.532812e-01 2.250000e-01 -9.906828e-02
8.532812e-01 2.500000e-01 -9.720727e-02
8.532812e-01 2.750000e-01 -9.495877e-02
8.532812e-01 3.000000e-01 -9.222765e-02
8.532812e-01 3.250000e-01 -8.899761e-02
8.532812e-01 3.500000e-01 -8.443385e-02
8.532812e-01 3.750000e-01 -7.970052e-02
8.532812e-01 4.000000e-01 -7.657371e-02
8.532812e-01 4.250000e-01 -7.395554e-02
8.532812e-01 4.500000e-01 -7.151712e-02
8.532812e-01 4.750000e-01 -6.988839e-02
8.532812e-01 5.000000e-01 -6.851663e-02
8.532812e-01 5.250000e-01 -6.714772e-02
8.532812e-01 5.500000e-01 -6.640950e-02
8.532812e-01 5.750000e-01 -6.596870e-02
8.532812e-01 6.000000e-01 -6.553315e-02
8.532812e-01 6.250000e-01 -6.570744e-02
8.532812e-01 6.500000e-01 -6.644674e-02
8.532812e-01 6.750000e-01 -6.770920e-02
8.532812e-01 7.000000e-01 -6.697156e-02
8.532812e-01 7.250000e-01 -6.702993e-02
8.532812e-01 7.500000e-01 -6.740553e-02
8.532812e-01 7.750000e-01 -6.818819e-02
8.532812e-01 8.000000e-01 -6.986440e-02
8.532812e-01 8.250000e-01 -7.168201e-02
8.532812e-01 8.500000e-01 -7.381018e-02
8.532812e-01 8.750000e-01 -7.700282e-02
8.532812e-01 9.000000e-01 -8.048137e-02
8.532812e-01 9.250000e-01 -8.440965e-02
8.532812e-01 9.500000e-01 -8.984552e-02
8.532812e-01 9.750000e-01 -9.612914e-02
8.532812e-01 1.000000e+00 -1.038274e-01
8.532812e-01 1.025000e+00 -1.143214e-01
8.532812e-01 1.050000e+00 -1.236293e-01
8.532812e-01 1.075000e+00 -1.310471e-01
8.532812e-01 1.100000e+00 -1.368402e-01
8.532812e-01 1.125000e+00 -1.417788e-01
8.532812e-01 1.150000e+00 -1.462816e-01
8.532812e-01 1.175000e+00 -1.499497e-01
8.532812e-01 1.200000e+00 -1.531017e-01
8.532812e-01 1.225000e+00 -1.560600e-01
8.532812e-01 1.250000e+00 -1.583835e-01
8.532812e-01 1.275000e+00 -1.601485e-01
8.532812e-01 1.300000e+00 -1.616257e-01
8.532812e-01 1.325000e+00 -1.622444e-01
8.532812e-01 1.350000e+00 -1.614995e-01
8.532812e-01 1.375000e+00 -1.606985e-01
8.532812e-01 1.400000e+00 -1.607682e-01
8.532812e-01 1.425000e+00 -1.610934e-01
8.532812e-01 1.450000e+00 -1.613017e-01
8.532812e-01 1.475000e+00 -1.611411e-01
8.532812e-01 1.500000e+00 -1.604651e-01
8.532812e-01 1.525000e+00 -1.592322e-01
8.532812e-01 1.550000e+00 -1.574889e-01
8.532812e-01 1.575000e+00 -1.553323e-01
8.532812e-01 1.600000e+00 -1.528763e-01
8.665625e-01 -1.600000e+00 -1.512924e-01
8.665625e-01 -1.575000e+00 -1.536733e-01
8.665625e-01 -1.550000e+00 -1.558243e-01
8.665625e-01 -1.525000e+00 -1.576373e-01
8.665625e-01 -1.500000e+00 -1.590159e-01
8.665625e-01 -1.475000e+00 -1.599145e-01
8.665625e-01 -1.450000e+00 -1.603828e-01
8.665625e-01 -1.425000e+00 -1.605849e-01
8.665625e-01 -1.400000e+00 -1.608059e-01
8.665625e-01 -1.375000e+00 -1.614965e-01
8.665625e-01 -1.350000e+00 -1.634749e-01
8.665625e-01 -1.325000e+00 -1.644577e-01
8.665625e-01 -1.300000e+00 -1.640592e-01
8.665625e-01 -1.275000e+00 -1.631804e-01
8.665625e-01 -1.250000e+00 -1.616427e-01
8.665625e-01 -1.225000e+00 -1.593095e-01
8.665625e-01 -1.200000e+00 -1.567599e-01
8.665625e-01 -1.175000e+00 -1.537071e-01
8.665625e-01 -1.150000e+00 -1.497284e-01
8.665625e-01 -1.125000e+00 -1.453740e-01
8.665625e-01 -1.100000e+00 -1.403047e-01
8.665625e-01 -1.075000e+00 -1.337242e-01
8.665625e-01 -1.050000e+00 -1.258519e-01
8.665625e-01 -1.025000e+00 -1.155105e-01
8.665625e-01 -1.000000e+00 -1.050817e-01
8.665625e-01 -9.750000e-01 -9.722771e-02
8.665625e-01 -9.500000e-01 -9.071933e-02
8.665625e-01 -9.250000e-01 -8.584466e-02
8.665625e-01 -9.000000e-01 -8.173044e-02
8.665625e-01 -8.750000e-01 -7.800491e-02
8.665625e-01 -8.500000e-01 -7.528014e-02
8.665625e-01 -8.250000e-01 -7.306887e-02
8.665625e-01 -8.000000e-01 -7.102344e-02
8.665625e-01 -7.750000e-01 -6.974572e-02
8.665625e-01 -7.500000e-01 -6.900784e-02
8.665625e-01 -7.250000e-01 -6.847779e-02
8.665625e-01 -7.000000e-01 -6.889880e-02
8.665625e-01 -6.750000e-01 -6.924929e-02
8.665625e-01 -6.500000e-01 -6.794576e-02
8.665625e-01 -6.250000e-01 -6.732281e-02
8.665625e-01 -6.000000e-01 -6.750312e-02
8.665625e-01 -5.750000e-01 -6.770677e-02
8.665625e-01 -5.500000e-01 -6.809365e-02
8.665625e-01 -5.250000e-01 -6.923101e-02
8.665625e-01 -5.000000e-01 -7.033859e-02
8.665625e-01 -4.750000e-01 -7.153435e-02
8.665625e-01 -4.500000e-01 -7.364073e-02
8.665625e-01 -4.250000e-01 -7.581147e-02
8.665625e-01 -4.000000e-01 -7.812675e-02
8.665625e-01 -3.750000e-01 -8.193360e-02
8.665625e-01 -3.500000e-01 -8.660969e-02
8.665625e-01 -3.250000e-01 -9.043119e-02
8.665625e-01 -3.000000e-01 -9.345100e-02
8.665625e-01 -2.750000e-01 -9.591140e-02
8.665625e-01 -2.500000e-01 -9.793533e-02
8.665625e-01 -2.250000e-01 -9.981116e-02
8.665625e-01 -2.000000e-01 -1.013974e-01
8.665625e-01 -1.750000e-01 -1.026991e-01
8.665625e-01 -1.500000e-01 -1.039284e-01
8.665625e-01 -1.250000e-01 -1.049669e-01
8.665625e-01 -1.000000e-01 -1.057835e-01
8.665625e-01 -7.500000e-02 -1.065627e-01
8.665625e-01 -5.000000e-02 -1.072379e-01
8.665625e-01 -2.500000e-02 -1.077946e-01
8.665625e-01 0.000000e+00 -1.083784e-01
8.665625e-01 2.500000e-02 -1.082758e-01
8.665625e-01 5.000000e-02 -1.080116e-01
8.665625e-01 7.500000e-02 -1.075646e-01
8.665625e-01 1.000000e-01 -1.070295e-01
8.665625e-01 1.250000e-01 -1.062497e-01
8.665625e-01 1.500000e-01 -1.052285e-01
8.665625e-01 1.750000e-01 -1.041062e-01
8.665625e-01 2.000000e-01 -1.026962e-01
8.665625e-01 2.250000e-01 -1.009674e-01
8.665625e-01 2.500000e-01 -9.908851e-02
8.665625e-01 2.750000e-01 -9.679582e-02
8.665625e-01 3.000000e-01 -9.400335e-02
8.665625e-01 3.250000e-01 -9.071701e-02
8.665625e-01 3.500000e-01 -8.604552e-02
8.665625e-01 3.750000e-01 -8.120233e-02
8.665625e-01 4.000000e-01 -7.800830e-02
8.665625e-01 4.250000e-01 -7.533241e-02
8.665625e-01 4.500000e-01 -7.283740e-02
8.665625e-01 4.750000e-01 -7.116321e-02
8.665625e-01 5.000000e-01 -6.974691e-02
8.665625e-01 5.250000e-01 -6.833019e-02
8.665625e-01 5.500000e-01 -6.755175e-02
8.665625e-01 5.750000e-01 -6.707309e-02
8.665625e-01 6.000000e-01 -6.659731e-02
8.665625e-01 6.250000e-01 -6.673896e-02
8.665625e-01 6.500000e-01 -6.745348e-02
8.665625e-01 6.750000e-01 -6.869502e-02
8.665625e-01 7.000000e-01 -6.784539e-02
8.665625e-01 7.250000e-01 -6.783076e-02
8.665625e-01 7.500000e-01 -6.816245e-02
8.665625e-01 7.750000e-01 -6.891581e-02
8.665625e-01 8.000000e-01 -7.057531e-02
8.665625e-01 8.250000e-01 -7.237910e-02
8.665625e-01 8.500000e-01 -7.450292e-02
8.665625e-01 8.750000e-01 -7.769720e-02
8.665625e-01 9.000000e-01 -8.118679e-02
8.665625e-01 9.250000e-01 -8.514924e-02
8.665625e-01 9.500000e-01 -9.061396e-02
8.665625e-01 9.750000e-01 -9.696370e-02
8.665625e-01 1.000000e+00 -1.048033e-01
8.665625e-01 1.025000e+00 -1.154949e-01
8.665625e-01 1.050000e+00 -1.249636e-01
8.665625e-01 1.075000e+00 -1.324856e-01
8.665625e-01 1.100000e+00 -1.383499e-01
8.665625e-01 1.125000e+00 -1.433559e-01
8.665625e-01 1.150000e+00 -1.479310e-01
8.665625e-01 1.175000e+00 -1.516690e-01
8.665625e-01 1.200000e+00 -1.548990e-01
8.665625e-01 1.225000e+00 -1.579508e-01
8.665625e-01 1.250000e+00 -1.603784e-01
8.665625e-01 1.275000e+00 -1.622649e-01
8.665625e-01 1.300000e+00 -1.638921e-01
8.665625e-01 1.325000e+00 -1.646861e-01
8.665625e-01 1.350000e+00 -1.641324e-01
8.665625e-01 1.375000e+00 -1.635732e-01
8.665625e-01 1.400000e+00 -1.639467e-01
8.665625e-01 1.425000e+00 -1.645792e-01
8.665625e-01 1.450000e+00 -1.650412e-01
8.665625e-01 1.475000e+00 -1.650368e-01
8.665625e-01 1.500000e+00 -1.643965e-01
8.665625e-01 1.525000e+00 -1.630842e-01
8.665625e-01 1.550000e+00 -1.611786e-01
8.665625e-01 1.575000e+00 -1.588181e-01
8.665625e-01 1.600000e+00 -1.561504e-01
8.798437e-01 -1.600000e+00 -1.543368e-01
8.798437e-01 -1.575000e+00 -1.569078e-01
8.798437e-01 -1.550000e+00 -1.592448e-01
8.798437e-01 -1.525000e+00 -1.612102e-01
